USER,INTENT,Slot-Value,Value,B-I-O Tag
"I'll take this one, thanks. Please continue with the billing process.",BookingReq,NA,NA,O O O O O O O O O O O
Thank you for your support.,Close,NA,NA,O O O O O
23,,,,
Hello. Will you be able to assist me in choosing an Android phone?,PhoneSelReq,NA,NA,O O O O O O O O O O O B-OS O
"On my daughter's birthday, I'd like to give it to her. Since she enjoys taking selfies, the camera can take precedence. Please search for the number 13MP.",Inform,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O
Her favourite colours are gold and black.,Inform,Colour-UNK,UNK,O O O O B-Colour O B-Colour
I don't believe the display size would be a problem.It should be at least 5 inches.,Inform,Display-5,5,O O O O O O O O O O O O O O B-Display O
I don't have any financial restrictions. Everything I want to do is get her a fantastic phone.,Inform,NA,NA,O O O O O O O O O O O O O O O O O
What other features does it have?,Request,Feature-UNK,UNK,O O O O O O
Just 2GB RAM! I don't think it will suffice. Atleast 4GB RAM wuold be needed.,Reject,RAM-4,4,O B-RAM O O O O O O O O B-RAM O O O O
How much will it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
Is it 420 EUR? Is it a laptop or a phone? It is prohibitively expensive. I have a budget of 300 euros.,Reject,Budget-300,300,O O B-Cost O O O O O O O O O O O O O O O O O B-Cost O
"No, it is still out of my budget.",Reject,NA,NA,O O O O O O O O
"OK, please make a reservation for her at 43254785.",BookingReq,NA,NA,O O O O O O O O O
Thank you for the assistance.,Close,NA,NA,O O O O O
24,,,,
Hello and good evening. I'd like to purchase a laptop. I'm not sure which laptop is the best; could you assist me in purchasing one?,LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O
"It should have a 15.6-inch touchscreen, more internal RAM, and a 1TB hard drive.",Request,Display-15.6,15.6,O O O O B-Display O O O B-RAM O O B-Storage O O
Could you show me any laptops with similar specs?,SuggestionReq,NA,NA,O O O O O O O O O
What's the deal with disc space?,Request,Storage-UNK,UNK,O O O O B-Storage O
Is a 1TB HDD sufficient for everyday use?,Request,-1,1,O O O I-Storage O O O O
What kind of graphics card does it have?,Request,GPU-UNK,UNK,O O O B-GPU O O O O
What exactly is CPU?,Request,Processor-UNK,UNK,O O O B-CPU
What's so unique about this laptop?,Request,NA,NA,O O O O O O
One more question to consider: what is the cost?,Request,Cost-UNK,UNK,O O O O O O O O B-Cost
"Okay, it'll suffice. Could you kindly take care of the billing? Also, please have a discount.",Request,NA,NA,O O O O O O O O O O O O O O O O
"Okay, then just move on to billing.",BookingReq,NA,NA,O O O O O O O
Thank you so much.,Close,NA,NA,O O O O
25,,,,
Hello. Can you recommend me a decent camera?,CameraSelReq,NA,NA,O O O O O O O O
I want a camera to gift my friend. It should be both lightweight and capable of producing stunning images.,Inform,Weight-Lightweight,Lightweight,O O O O O O O O O O O O B-Weight O O O O O O
I heard about Casio. Show me something from this brand.,Inform,Brand-Casio,Casio,O O O B-Brand O O O O O O
"Yes, it should be upto 250 EUR.",Inform,Cost-250,251,O O O O O B-Cost O
Can you tell me more about the Casio Exilim EX: S500?,Request,"Brand-Casio,
Model-Exillim EX: S500","Casio,
Exillim EX: S500",O O O O O O O B-Brand B-Model I-Model O
Will this be a suitable birthday present?,FeedbackReq,NA,NA,O O O O O O O
Tell me a little bit more about this one.,Request,Feature-UNK,UNK,O O O O O O O O O
What is the Normal focus range?,Request,Normal focus range-UNK,UNK,O O O B-FocusRange O O
Is it better than Casio Exilim EX: S600?,Request,"Brand-Casi,
Model-Exillim EX: S600","Casio,
Exillim EX: S600",O O O O B-Brand B-Model I-Model O
What are their rates?,Request,Cost-UNK,UNK,O O O B-Cost
I'm going to go for the Casio Exilim EX: S600. My choice will please my friend quite a bit.,Inform,"Brand-Casio,
Model-Exillim EX: S600","Casio,
Exillim EX: S600",O O O O O O B-Brand B-Model I-Model O O O O O O O O O O
Indeed. Please book it for me.,BookingReq,NA,NA,O O O O O O
Thank you so much for your time and support.,Close,NA,NA,O O O O O O O O O
26,,,,
Hello and good afternoon. Will you able to assist me?,Request,NA,NA,O O O O O O O O O O
I'd like to purchase a trendy smartphone. Can you show me a phone like that?,PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O
It should be an Android phone with 4G and dual SIM capability.,Request,Sim-2,2,O O O O B-OS O O O O O B-Sim O
Tell me about its features.,Request,Feature-UNK,UNK,O O O O O
"Okay, that's fantastic. What colour is it?",Request,Colour-UNK,UNK,O O O O B-Colour O O
"Ok, but I need to look at another model before deciding which is better.",Inform,NA,NA,O O O O O O O O O O O O O O
"Okay, What about their internal RAM and colour, by the way?",Request,RAM-UNK,UNK,O O O O O B-RAM O B-Colour O O O
Which do you think is the better option?,SuggestionReq,NA,NA,O O O O O O O O
"Okay, then just move on to billing.",BookingReq,NA,NA,O O O O O O O
"No, no, no. You could only continue with the billing of the Zenfone 3 Zoom ZE553KL.",Inform,Model-Zenfone 3 Zoom ZE553KL,Zenfone 3 Zoom ZE553KL,O O O O O O O O O O O O B-Brand B-Model I-Model
Okay!,Inform,NA,NA,Okay!
Thank you so much for your support.,Close,NA,NA,O O O O O O O
27,,,,
"Hello, I'd like to purchase a smartphone that I saw at a party last night. I don't know anything else about this phone, though. Will you able to assist me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Yes I have a picture of the phone. Here it is. https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,Inform,NA,NA,O O O O O O O O O O O O
"Okay, Can you tell me more about their features and specifications?",Request,Feature-UNK,UNK,O O O O O O O O O O O
What does their RAM and internal RAM look like?,Inform,RAM-UNK,UNK,O O O B-RAM O B-RAM O O O
Just 0.004882813 GB RAM is available! That is very little. I wonder which brand it is.,Reject,NA,NA,O O O O O O O O O O O O O O O O
"No, show me an Asus phone with higher RAM.",Feedback,Brand-Asus,#N/A,O O O O B-Brand O O O B-RAM
It should have atleast 4GB,Inform,RAM-4,4,O O O O B-RAM
What colour is it?,Request,Colour-UNK,UNK,O B-Colour O O
I want my phone in black colour. Do you have black as option?,Reject,NA,NA,O O O O O B-Colour O O O O B-Colour O O
"Okay, that's very cool. What are the rest of the features?",Request,Feature-UNK,UNK,O O O O O O O O O O O
Is it capable of taking a decent photograph?,Request,Camers-UNK,UNK,O O O O O O O O
Okay. Can i see a picture of the product?,Request,NA,NA,O O O O O O O O O
Wow. That is too good. Please proceed with billing.,BookingReq,NA,NA,O O O O O O O O O
"NO. You have to proceed only with Asus Zenpad 3S 10 Z500M. Firstly, I want to buy the phone which I show you. but, that was not impressive.",Inform,NA,NA,O O O O O O O B-Brand O I-Model B-Display O O O O O O O O O O O O O O O O O
Thank you.,Close,NA,NA,O O
28,,,,
Hello there.,Gratitude,NA,NA,O O
I'd like to buy a mobile.,PhoneSelReq,NA,NA,O O O O O O
Is it possible for you to show me any decent phones?,Request,NA,NA,O O O O O O O O O O O
"I've never bought a phone before, so I'm not familiar with the brands or specs. Will you be able to assist me?",Request,NA,NA,O O O O O O O O O O O O O O O O O O O O O O
It should be upto 200 EUROS,Inform,Budget-200,200,O O O O B-Cost O
"It should have a good battery backup and, most importantly, a lot of internal memory because I always run out of space. My current phone's capacity is still full. Which brand is it?",Inform,Brand-UNK,UNK,O O O O O B-Battery O O O O O O O O O O O O O O O O O O O O O O O O B-Brand O O
I don't think 64 GB storage will be sufficient.,Reject,Storage-64,64,O O O O O B-Storage O O O
I play a lot of games on my phone. I doubt it will run out of space very soon.,Reject,NA,NA,O O O O O O O O O O O O O O O O O O O
Okay. What colour is it in?,Request,Colour-UNK,UNK,O O B-Colour O O O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
This is fantastic. Please go ahead and make this reservation for me.,BookingReq,NA,NA,O O O O O O O O O O O O
Thank you so much for your support.,Close,NA,NA,O O O O O O O
29,,,,
Hello. I'd like to purchase a current-model laptop. Could you show me a laptop like that?,LaptopSelReq,NA,NA,O O O O O O O O O O O O O O O O
It is essential to have a big monitor and an Intel processor?,Inform,Display-UNK,UNK,O O O O O O O O O O B-Processor O
It should be upto 2500 EUROS.,Inform,Budget-2500,2500,O O O O B-Cost O
"Yes, I just put my faith in the HP name.",Inform,Brand-HP,HP,O O O O O O O O B-Brand O
"Okay, that's fantastic. What's the deal with disc space?",Request,Storage-UNK,UNK,O O O O O O O B-Storage O
Tell me a little more about its features.,Request,Feature-UNK,UNK,O O O O O O O O
Just three stars! Can you show a laptop with higher user rating?,Reject,NA,NA,O O O O O O O O O O O O
What exactly is a graphics card?,Request,GPU-UNK,UNK,O O O O B-GPU O
I don't think 1TB HDD is sufficient for everyday use.,Reject,NA,NA,O O O O I-Storage O O O O O
What is the cost?,Request,Cost-UNK,UNK,O O O B-Cost
"Then, please book it for me.",BookingReq,NA,NA,O O O O O O
It's incredible. Thank you so much for your time and support.,Close,NA,NA,O O O O O O O O O O O
30,,,,
"Hello, I've been searching for a decent smartphone for a while. Could you please assist me?",PhoneSelReq,NA,NA,O O O O O O O O O O O O O O O O
My family's situation is dire. So that is why I'm looking for a smartphone on a tight budget,Inform,NA,NA,O O O O O O O O O O O O O O O O O O
It should be upto 200 EUROS,Inform,Budget-200,200,O O O O B-Cost O
It should be an Android phone with 4G or 5G and dual SIM.,Inform,Sim-2,2,O O O O B-OS O O O O O O B-Sim O
Please tell me a little bit about its features.,Request,Feature-UNK,UNK,O O O O O O O O O
Is it capable of taking a decent photograph?,Request,Camera-UNK,UNK,O O O O O O O O
That's really cool. How much wili it cost?,Request,Cost-UNK,UNK,O O O O O O O B-Cost
"Okay, that's fantastic. What colour is it?",Request,Colour-UNK,UNK,O O O O B-Colour O O
No! Do you have black color as option?,Reject,NA,NA,O O O O B-Colour O O O
But I like black colour.,Reject,NA,NA,O O O B-Colour O
Will you please elaborate its other specifications and features?,Request,Feature-UNK,UNK,O O O O O O O O O
Is it possible for you to show me their photos?,Request,NA,NA,O O O O O O O O O O
"Okay, then just move on to billing.",BookingReq,NA,NA,O O O O O O O
Thank you so much for your time and support.,Close,NA,NA,O O O O O O O O O
31,,,,
Hello there!,Gratitude,NA,NA,O O
Can you kindly assist me in purchasing a tablet device?,TabletSelReq,NA,NA,O O O O O O O O O O
"I'm currently using the HP brand, but I'm not happy with its features. I want an Apple product.",Feedback,Brand-APPLE,APPLE,O O O O B-Brand O O O O O O O O O O O B-Brand O
"Wow, that's fantastic. It has a great battery life. Please give me more details about the features.",Request,Feature-UNK,UNK,O O O O O O O B-Battery O O O O O O O O O
"Okay, that's fantastic. What colour is it?",Request,Colour-UNK,UNK,O O O O B-Colour O O
That is ideal. Could you please tell me how much this phone costs and how I can pay for it?,Request,Cost-UNK,UNK,O O O O O O O O O O O O O O O O O O O O
Kindly book it for me.,BookingReq,NA,NA,O O O O O
Do you have laptops from various brands in the 2000 EUR price range?,LaptopSelReq,Budget-2000,2000,O O O O O O O B-Brand O O B-Cost O O
Is it equipped with Nvidia graphics?,Request,GPU-NVIDIA,GPU,O O O O B-GPU O
Should these laptops come with a discount?,Reject,NA,NA,O O O O O O O
I'll hold off until the next price decline.,Reject,NA,NA,O O O O O O B-Cost O
"Thank you, just no. You just have to do with the tablet's billing.",Reject,NA,NA,O O O O O O O O O O O O O
"Okay,! Thank you so much.",Close,NA,NA,O O O O O
32,,,,
Hello and good morning.,Gratitude,NA,NA,O O O O
I'd like to purchase a phone that meets all of my specifications.,PhoneSelReq,NA,NA,O O O O O O O O O O O O
My first criterion is that the phone must have an outstanding camera.,Inform,Camera-UNK,UNK,O O O O O O O O O O O O
I'm hunting for a handset that costs less than 1000 euros.,Inform,Budget-1000,1000,O O O O O O O O O B-Cost O
What kind of storage capacity does it provide?,Request,Storage-UNK,UNK,O O O B-Storage O O O O
Could you please tell me? What are their characteristics and model?,Request,Model-UNK,UNK,O O O O O O O O O O B-Model
What about the camera?,Request,Camera-UNK,UNK,O O O B-Camera
"Wow, that's fantastic. How much does it cost?",Request,Cost-UNK,UNK,O O O O O O O B-Cost
What other phones do you have if I want a handset with a lot of battery life?,Reject,NA,NA,O O O O O O O O O O O O O O O B-Battery O
What kind of storage capacity does it provide?,Request,Storage-UNK,UNK,O O O B-Storage O O O O
What about the battery?,Request,Battery-NA,NA,O O O B-Battery
How much is it going to cost?,Request,Cost-UNK,UNK,O O O O O O B-Cost
"Oh no, that's too expensive; please guide me to a phone that's both affordable and has a decent camera and storage.",Reject,NA,NA,O O O O O O O O O O O O O O O O O O O O O
What kind of discount would you provide?,Request,NA,NA,O O O O O O O
Is it possible to use two SIM cards at the same time?,Request,Sim-2,2,O O O O O O B-Sim O O O O O
"Okay, book it for me",BookingReq,NA,NA,O O O O O
Thankyou so much.,Close,NA,NA,O O O
33,,,,
Hello and good morning.,Gratitude,NA,NA,O O O O
I'd like to purchase a laptop.,LaptopSelReq,NA,NA,O O O O O O
I'm just interested in the Huawei name.,Inform,Brand-HUAWEI,HUAWEI,O O O O O B-Brand O
"I'm not sure what the exact specifications are, so please show me the best one.",Request,NA,NA,O O O O O O O O O O O O O O O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is pricey.,Reject,NA,NA,O O O
"Nonetheless, I am unable to afford it. Please show me a different laptop.",Reject,NA,NA,O O O O O O O O O O O O O
I'm looking for something under 2000 EUR and an i5 cpu.,Inform,Budget-2000,#N/A,O O O O O B-Cost O O O I-Processor O
Is it a reputable brand?,Request,NA,NA,O O O O O
Could you please describe the features to me?,Request,Feature-UNK,UNK,O O O O O O O O
"Wow, that's fantastic. Please make this reservation for me.",BookingReq,NA,NA,O O O O O O O O O
Thank you.,Close,NA,NA,O O
34,,,,
Hello there. Will you be able to assist me?,Gratitude,NA,NA,O O O O O O O O O
"For my daughter, I'd like to purchase a camera. Her ambition is to work as a travel photographer.",CameraSelReq,NA,NA,O O O O O O O O O O O O O O O O O O
I'm just interested in the Panasonic Lumix DMC-LC40.,Inform,Brand-PANASONIC,PANASONIC,O O O O O B-Brand O O
How much will it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
It is pricey.,Reject,NA,NA,O O O
"Nonetheless, I am unable to afford it. Please demonstrate a different camera to me.",Reject,NA,NA,O O O O O O O O O O O O O O
It should be in the range of 200 EUR.,Inform,Budget-200,200,O O O O O O O B-Cost O
Is it a reputable brand?,Request,NA,NA,O O O O O
Could you please describe the features to me?,Request,Feature-UNK,UNK,O O O O O O O O
What are the weights of it?,Request,Weight-UNK,UNK,O O O B-Weight O O
"Wow, that's fantastic. Please make this reservation for me.",BookingReq,NA,NA,O O O O O O O O O
Thank you.,Close,NA,NA,O O
35,,,,
Hello there!,Gratitude,NA,NA,O O
I'd like to learn more about the Kyocera Finecam S4.,CameraSelReq,Brand-KYOCERA,KYOCERA,O O O O O O O B-Brand B-Model O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
"No thanks, it's too expensive. I'm afraid I won't be able to afford it.",Reject,NA,NA,O O O O O O O O O O O O O O
Please show me another Canon camera.,Request,Brand-Canon,Canon,O O O O B-Brand O
"I am not sure, just show me some Canon products and tell me if they're fine.",Request,NA,NA,O O O O O O O O B-Brand O O O O O O O
Could you please describe the features to me?,Request,Feature-UNK,UNK,O O O O O O O O
